State,Value,Category,Year,Dataset,State_Total,Crime_Share,Dataset_Total,Contribution_%,Prev_Value,Growth_Rate,Crime_Rank_State,State_Rank,Intensity,Log_Value,Frequency,Metric
Andhra Pradesh,956,Murder,2021,IPC,224927,0.004250268,4230873,0.022595809,,0,32,693.5,Low,6.863803391,Rare,I
Arunachal Pradesh,49,Murder,2021,IPC,3603,0.013599778,4230873,0.001158153,,0,21,2168,Low,3.912023005,Rare,I
Assam,1192,Murder,2021,IPC,188338,0.006329047,4230873,0.028173854,,0,36,602,Low,7.084226422,Rare,I
Bihar,2799,Murder,2021,IPC,305961,0.009148225,4230873,0.066156559,,0,17,335,Low,7.937374696,Rare,I
Chhattisgarh,1007,Murder,2021,IPC,113598,0.008864593,4230873,0.023801234,,0,26,666.5,Low,6.915723449,Rare,I
Goa,26,Murder,2021,IPC,2936,0.008855586,4230873,0.00061453,,0,26.5,2667.5,Low,3.295836866,Rare,I
Gujarat,1010,Murder,2021,IPC,296968,0.00340104,4230873,0.023872142,,0,23,664,Low,6.918695219,Rare,I
Haryana,1112,Murder,2021,IPC,144925,0.007672934,4230873,0.026282992,,0,30,628.5,Low,7.014814351,Rare,I
Himachal Pradesh,86,Murder,2021,IPC,19452,0.004421139,4230873,0.002032677,,0,42,1807,Low,4.465908119,Rare,I
Jharkhand,1573,Murder,2021,IPC,69828,0.02252678,4230873,0.037179088,,0,10,507,Low,7.361375429,Rare,I
Karnataka,1357,Murder,2021,IPC,177849,0.007630068,4230873,0.032073759,,0,33,557,Low,7.213768308,Rare,I
Kerala,337,Murder,2021,IPC,174311,0.001933326,4230873,0.007965259,,0,45,1134,Low,5.823045895,Rare,I
Madhya Pradesh,2034,Murder,2021,IPC,462368,0.004399093,4230873,0.048075184,,0,36,431,Low,7.618251098,Rare,I
Maharashtra,2330,Murder,2021,IPC,505541,0.004608924,4230873,0.055071377,,0,44,386.5,Low,7.754052639,Rare,I
Manipur,46,Murder,2021,IPC,3307,0.013909888,4230873,0.001087246,,0,18,2227,Low,3.850147602,Rare,I
Meghalaya,80,Murder,2021,IPC,4249,0.01882796,4230873,0.001890863,,0,12,1842.5,Low,4.394449155,Rare,I
Mizoram,24,Murder,2021,IPC,2823,0.008501594,4230873,0.000567259,,0,23,2736,Low,3.218875825,Rare,I
Nagaland,27,Murder,2021,IPC,1216,0.022203947,4230873,0.000638166,,0,7,2639.5,Low,3.33220451,Rare,I
Odisha,1394,Murder,2021,IPC,193012,0.007222349,4230873,0.032948283,,0,30,546,Low,7.240649694,Rare,I
Punjab,723,Murder,2021,IPC,62358,0.011594342,4230873,0.017088672,,0,24,802,Low,6.584791392,Rare,I
Rajasthan,1786,Murder,2021,IPC,298122,0.005990836,4230873,0.04221351,,0,29,466,Low,7.488293515,Rare,I
Sikkim,14,Murder,2021,IPC,960,0.014583333,4230873,0.000330901,,0,25,3165.5,Low,2.708050201,Rare,I
Tamil Nadu,1686,Murder,2021,IPC,376836,0.004474095,4230873,0.039849932,,0,20,488.5,Low,7.430707083,Rare,I
Telangana,1026,Murder,2021,IPC,224213,0.004576006,4230873,0.024250314,,0,38,658,Low,6.93439721,Rare,I
Tripura,122,Murder,2021,IPC,6500,0.018769231,4230873,0.002883566,,0,13,1634,Low,4.812184355,Rare,I
Uttar Pradesh,3717,Murder,2021,IPC,537212,0.006919056,4230873,0.087854209,,0,35,275,Low,8.220941168,Rare,I
Uttarakhand,208,Murder,2021,IPC,23817,0.008733258,4230873,0.004916243,,0,28,1371.5,Low,5.342334252,Rare,I
West Bengal,1884,Murder,2021,IPC,234967,0.008018147,4230873,0.044529817,,0,26,448,Low,7.5416831,Rare,I
A&N Islands,16,Murder,2021,IPC,794,0.020151134,4230873,0.000378173,,0,11,3053.5,Low,2.833213344,Rare,I
Chandigarh,17,Murder,2021,IPC,3338,0.00509287,4230873,0.000401808,,0,34.5,2999.5,Low,2.890371758,Rare,I
D&N Haveli and Daman & Diu,14,Murder,2021,IPC,841,0.016646849,4230873,0.000330901,,0,18,3165.5,Low,2.708050201,Rare,I
Delhi,459,Murder,2021,IPC,328033,0.001399249,4230873,0.010848825,,0,37,1014,Low,6.131226489,Rare,I
Jammu & Kashmir,136,Murder,2021,IPC,36940,0.003681646,4230873,0.003214467,,0,39.5,1581,Low,4.919980926,Rare,I
Ladakh,5,Murder,2021,IPC,613,0.008156607,4230873,0.000118179,,0,20,3959.5,Low,1.791759469,Rare,I
Lakshadweep,1,Murder,2021,IPC,171,0.005847953,4230873,2.36E-05,,0,31,5116,Low,0.693147181,Rare,I
Puducherry,19,Murder,2021,IPC,4889,0.003886275,4230873,0.00044908,,0,27,2907,Low,2.995732274,Rare,I
Andhra Pradesh,112,Culpable Homicide not Amounting to Murder,2021,IPC,224927,0.000497939,4230873,0.002647208,956,-88.28451883,82,1675.5,Low,4.727387819,Rare,I
Arunachal Pradesh,3,Culpable Homicide not Amounting to Murder,2021,IPC,3603,0.000832639,4230873,7.09E-05,49,-93.87755102,66.5,4307.5,Low,1.386294361,Rare,I
Assam,95,Culpable Homicide not Amounting to Murder,2021,IPC,188338,0.000504412,4230873,0.002245399,1192,-92.03020134,100,1752.5,Low,4.564348191,Rare,I
Bihar,136,Culpable Homicide not Amounting to Murder,2021,IPC,305961,0.000444501,4230873,0.003214467,2799,-95.14112183,73,1581,Low,4.919980926,Rare,I
Chhattisgarh,42,Culpable Homicide not Amounting to Murder,2021,IPC,113598,0.000369725,4230873,0.000992703,1007,-95.82919563,81,2291,Low,3.761200116,Rare,I
Goa,2,Culpable Homicide not Amounting to Murder,2021,IPC,2936,0.000681199,4230873,4.73E-05,26,-92.30769231,85,4595.5,Low,1.098612289,Rare,I
Gujarat,114,Culpable Homicide not Amounting to Murder,2021,IPC,296968,0.00038388,4230873,0.002694479,1010,-88.71287129,66,1667.5,Low,4.744932128,Rare,I
Haryana,45,Culpable Homicide not Amounting to Murder,2021,IPC,144925,0.000310505,4230873,0.00106361,1112,-95.95323741,105.5,2245,Low,3.828641396,Rare,I
Himachal Pradesh,8,Culpable Homicide not Amounting to Murder,2021,IPC,19452,0.000411269,4230873,0.000189086,86,-90.69767442,88,3591,Low,2.197224577,Rare,I
Jharkhand,41,Culpable Homicide not Amounting to Murder,2021,IPC,69828,0.000587157,4230873,0.000969067,1573,-97.39351558,89.5,2304.5,Low,3.737669618,Rare,I
Karnataka,84,Culpable Homicide not Amounting to Murder,2021,IPC,177849,0.000472311,4230873,0.001985406,1357,-93.80987472,90,1818,Low,4.442651256,Rare,I
Kerala,78,Culpable Homicide not Amounting to Murder,2021,IPC,174311,0.000447476,4230873,0.001843591,337,-76.85459941,76,1858,Low,4.369447852,Rare,I
Madhya Pradesh,197,Culpable Homicide not Amounting to Murder,2021,IPC,462368,0.000426068,4230873,0.004656249,2034,-90.31465093,72,1398,Low,5.288267031,Rare,I
Maharashtra,276,Culpable Homicide not Amounting to Murder,2021,IPC,505541,0.00054595,4230873,0.006523476,2330,-88.15450644,83,1233.5,Low,5.624017506,Rare,I
Manipur,9,Culpable Homicide not Amounting to Murder,2021,IPC,3307,0.0027215,4230873,0.000212722,46,-80.43478261,54.5,3494,Low,2.302585093,Rare,I
Meghalaya,10,Culpable Homicide not Amounting to Murder,2021,IPC,4249,0.002353495,4230873,0.000236358,80,-87.5,67.5,3417,Low,2.397895273,Rare,I
Mizoram,9,Culpable Homicide not Amounting to Murder,2021,IPC,2823,0.003188098,4230873,0.000212722,24,-62.5,43,3494,Low,2.302585093,Rare,I
Nagaland,2,Culpable Homicide not Amounting to Murder,2021,IPC,1216,0.001644737,4230873,4.73E-05,27,-92.59259259,51.5,4595.5,Low,1.098612289,Rare,I
Odisha,12,Culpable Homicide not Amounting to Murder,2021,IPC,193012,6.22E-05,4230873,0.000283629,1394,-99.13916786,114,3281.5,Low,2.564949357,Rare,I
Punjab,177,Culpable Homicide not Amounting to Murder,2021,IPC,62358,0.002838449,4230873,0.004183534,723,-75.5186722,46,1450,Low,5.18178355,Rare,I
Rajasthan,96,Culpable Homicide not Amounting to Murder,2021,IPC,298122,0.000322016,4230873,0.002269035,1786,-94.62486002,81,1748.5,Low,4.574710979,Rare,I
Sikkim,2,Culpable Homicide not Amounting to Murder,2021,IPC,960,0.002083333,4230873,4.73E-05,14,-85.71428571,51.5,4595.5,Low,1.098612289,Rare,I
Tamil Nadu,71,Culpable Homicide not Amounting to Murder,2021,IPC,376836,0.000188411,4230873,0.001678141,1686,-95.78884935,91,1926.5,Low,4.276666119,Rare,I
Telangana,428,Culpable Homicide not Amounting to Murder,2021,IPC,224213,0.001908899,4230873,0.010116116,1026,-58.28460039,63,1045.5,Low,6.061456919,Rare,I
Tripura,5,Culpable Homicide not Amounting to Murder,2021,IPC,6500,0.000769231,4230873,0.000118179,122,-95.90163934,74,3959.5,Low,1.791759469,Rare,I
Uttar Pradesh,1371,Culpable Homicide not Amounting to Murder,2021,IPC,537212,0.002552065,4230873,0.03240466,3717,-63.11541566,62,553,Low,7.224024808,Rare,I
Uttarakhand,42,Culpable Homicide not Amounting to Murder,2021,IPC,23817,0.001763446,4230873,0.000992703,208,-79.80769231,60,2291,Low,3.761200116,Rare,I
West Bengal,246,Culpable Homicide not Amounting to Murder,2021,IPC,234967,0.001046956,4230873,0.005814403,1884,-86.94267516,64,1280,Low,5.509388337,Rare,I
A&N Islands,3,Culpable Homicide not Amounting to Murder,2021,IPC,794,0.003778338,4230873,7.09E-05,16,-81.25,47.5,4307.5,Low,1.386294361,Rare,I
Chandigarh,1,Culpable Homicide not Amounting to Murder,2021,IPC,3338,0.000299581,4230873,2.36E-05,17,-94.11764706,99,5116,Low,0.693147181,Rare,I
D&N Haveli and Daman & Diu,1,Culpable Homicide not Amounting to Murder,2021,IPC,841,0.001189061,4230873,2.36E-05,14,-92.85714286,63.5,5116,Low,0.693147181,Rare,I
Delhi,60,Culpable Homicide not Amounting to Murder,2021,IPC,328033,0.000182908,4230873,0.001418147,459,-86.92810458,75,2042,Low,4.110873864,Rare,I
