State,Crime_Info,Value,Category,Crime,Metric,Year
Andhra Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,956.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Arunachal Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,49.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Assam,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1192.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Bihar,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,2799.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Chhattisgarh,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1007.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Goa,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,26.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Gujarat,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1010.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Haryana,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1112.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Himachal Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,86.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Jharkhand,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1573.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Karnataka,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1357.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Kerala,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,337.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Madhya Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,2034.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Maharashtra,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,2330.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Manipur,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,46.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Meghalaya,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,80.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Mizoram,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,24.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Nagaland,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,27.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Odisha,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1394.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Punjab,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,723.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Rajasthan,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1786.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Sikkim,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,14.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Tamil Nadu,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1686.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Telangana,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1026.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Tripura,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,122.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Uttar Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,3717.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Uttarakhand,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,208.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
West Bengal,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,1884.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
A&N Islands,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,16.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Chandigarh,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,17.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
D&N Haveli and Daman & Diu,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,14.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
Delhi,Offences affecting the Human Body_Murder (Sec.302 IPC)___I,459.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,I,2021
